头实体,关系,尾实体,依据,文献,品种,关系数量
混施有机肥,抑制,酚氨比,单施有机肥和混施有机肥的茶叶中茶多酚、咖啡碱、氨基酸和水浸出物的含量均显著增加，酚氨比减小,不同有机肥处理对茶园土壤茶树生长及茶叶品质的影响,陕西茶,1
混施有机肥,促进,咖啡碱,单施有机肥和混施有机肥的茶叶中茶多酚、咖啡碱、氨基酸和水浸出物的含量均显著增加，酚氨比减小,不同有机肥处理对茶园土壤茶树生长及茶叶品质的影响,陕西茶,1
混施有机肥,促进,水浸出物,单施有机肥和混施有机肥的茶叶中茶多酚、咖啡碱、氨基酸和水浸出物的含量均显著增加，酚氨比减小,不同有机肥处理对茶园土壤茶树生长及茶叶品质的影响,陕西茶,1
间作大豆,抑制,d -葡萄糖- 6p,与氨基酸代谢相关的代谢物，尤其是谷氨酸、谷氨酰胺、赖氨酸和精氨酸的表达上调，而蔗糖和d -葡萄糖- 6p的表达下调。,The efects of?tea plants-soybean intercropping on?the?secondary metabolites of?tea plants by?metabolomics analysis,南京 “苏茶早” ,1
间作大豆,促进,谷氨酸,与氨基酸代谢相关的代谢物，尤其是谷氨酸、谷氨酰胺、赖氨酸和精氨酸的表达上调，而蔗糖和d -葡萄糖- 6p的表达下调。,The efects of?tea plants-soybean intercropping on?the?secondary metabolites of?tea plants by?metabolomics analysis,南京 “苏茶早” ,1
间作大豆,促进,谷氨酰胺,与氨基酸代谢相关的代谢物，尤其是谷氨酸、谷氨酰胺、赖氨酸和精氨酸的表达上调，而蔗糖和d -葡萄糖- 6p的表达下调。,The efects of?tea plants-soybean intercropping on?the?secondary metabolites of?tea plants by?metabolomics analysis,南京 “苏茶早” ,1
间作大豆,促进,精氨酸,与氨基酸代谢相关的代谢物，尤其是谷氨酸、谷氨酰胺、赖氨酸和精氨酸的表达上调，而蔗糖和d -葡萄糖- 6p的表达下调。,The efects of?tea plants-soybean intercropping on?the?secondary metabolites of?tea plants by?metabolomics analysis,南京 “苏茶早” ,1
间作大豆,促进,赖氨酸,与氨基酸代谢相关的代谢物，尤其是谷氨酸、谷氨酰胺、赖氨酸和精氨酸的表达上调，而蔗糖和d -葡萄糖- 6p的表达下调。,The efects of?tea plants-soybean intercropping on?the?secondary metabolites of?tea plants by?metabolomics analysis,南京 “苏茶早” ,1
间作大豆,抑制,蔗糖,与氨基酸代谢相关的代谢物，尤其是谷氨酸、谷氨酰胺、赖氨酸和精氨酸的表达上调，而蔗糖和d -葡萄糖- 6p的表达下调。,The efects of?tea plants-soybean intercropping on?the?secondary metabolites of?tea plants by?metabolomics analysis,南京 “苏茶早” ,1
降水不足,抑制,茶多酚,"降水不足会导致茶多酚和淀粉含量下降，而降水过多也会影响茶树的呼吸和养分吸收效率(Muoki et al ., 2020；Wijeratne et al, 2007)。",Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
降水不足,抑制,淀粉,"降水不足会导致茶多酚和淀粉含量下降，而降水过多也会影响茶树的呼吸和养分吸收效率(Muoki et al ., 2020；Wijeratne et al, 2008)。",Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
胶体芽孢杆菌基生物有机肥,促进,氨基酸,巨芽孢杆菌、胶体芽孢杆菌和枯草芽孢杆菌基生物有机肥与常规化肥相比，茶多酚、氨基酸和咖啡因含量分别提高了17.71%、33.5%和22.20%。,"Efects of?Bio?organic Fertilizer on?Soil Fertility, Yield, and?Quality of?Tea",浙江茶,1
胶体芽孢杆菌基生物有机肥,促进,茶多酚,巨芽孢杆菌、胶体芽孢杆菌和枯草芽孢杆菌基生物有机肥与常规化肥相比，茶多酚、氨基酸和咖啡因含量分别提高了17.71%、33.5%和22.20%。,"Efects of?Bio?organic Fertilizer on?Soil Fertility, Yield, and?Quality of?Tea",浙江茶,1
胶体芽孢杆菌基生物有机肥,促进,咖啡因,巨芽孢杆菌、胶体芽孢杆菌和枯草芽孢杆菌基生物有机肥与常规化肥相比，茶多酚、氨基酸和咖啡因含量分别提高了17.71%、33.5%和22.20%。,"Efects of?Bio?organic Fertilizer on?Soil Fertility, Yield, and?Quality of?Tea",浙江茶,1
精氨酸,促进,甜而回味苦,表9 遮荫处理下鲜叶的游离氨基酸组分分析,四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,通用,1
巨芽孢杆菌生物有机肥,促进,氨基酸,巨芽孢杆菌、胶体芽孢杆菌和枯草芽孢杆菌基生物有机肥与常规化肥相比，茶多酚、氨基酸和咖啡因含量分别提高了17.71%、33.5%和22.20%。,"Efects of?Bio?organic Fertilizer on?Soil Fertility, Yield, and?Quality of?Tea",浙江茶,1
巨芽孢杆菌生物有机肥,促进,茶多酚,巨芽孢杆菌、胶体芽孢杆菌和枯草芽孢杆菌基生物有机肥与常规化肥相比，茶多酚、氨基酸和咖啡因含量分别提高了17.71%、33.5%和22.20%。,"Efects of?Bio?organic Fertilizer on?Soil Fertility, Yield, and?Quality of?Tea",浙江茶,1
巨芽孢杆菌生物有机肥,促进,咖啡因,巨芽孢杆菌、胶体芽孢杆菌和枯草芽孢杆菌基生物有机肥与常规化肥相比，茶多酚、氨基酸和咖啡因含量分别提高了17.71%、33.5%和22.20%。,"Efects of?Bio?organic Fertilizer on?Soil Fertility, Yield, and?Quality of?Tea",浙江茶,1
空气湿度,促进,氨基酸,"因为空气中较高的湿度不仅能抑制茶叶中纤维素的合成，保持芽叶柔嫩，而且能够增强太阳辐射的漫射
效应，有利于茶多酚、氨基酸等芳香物质的形成( 张玮玮等，2013) 。",近55年来浙江省茶叶高温干旱灾害特征及防御技术研艽,安徽茶,1
空气湿度,抑制,氨基酸,园空气湿度的3个指标与茶青产量呈正相关关系，与茶青杂率呈负相关关系，而与茶青品质的咖啡碱、茶多酚2个生化指标呈正相关关系，与氨基酸和叶绿素含量呈负相关关系。,南京地区大棚茶园小气候特征及对茶青产量和品质效应,南京绿茶,1
空气湿度,促进,茶多酚,因为空气中较高的湿度不仅能抑制茶叶中纤维素的合成，保持芽叶柔嫩，而且能够增强太阳辐射的漫射效应，有利于茶多酚、氨基酸等芳香物质的形成( 张玮玮等，2012) 。;园空气湿度的3个指标与茶青产量呈正相关关系，与茶青杂率呈负相关关系，而与茶青品质的咖啡碱、茶多酚2个生化指标呈正相关关系，与氨基酸和叶绿素含量呈负相关关系。,近55年来浙江省茶叶高温干旱灾害特征及防御技术研艽;南京地区大棚茶园小气候特征及对茶青产量和品质效应,安徽茶;南京绿茶,2
空气湿度,促进,咖啡碱,园空气湿度的3个指标与茶青产量呈正相关关系，与茶青杂率呈负相关关系，而与茶青品质的咖啡碱、茶多酚2个生化指标呈正相关关系，与氨基酸和叶绿素含量呈负相关关系。,南京地区大棚茶园小气候特征及对茶青产量和品质效应,南京绿茶,1
空气湿度,抑制,纤维素,"因为空气中较高的湿度不仅能抑制茶叶中纤维素的合成，保持芽叶柔嫩，而且能够增强太阳辐射的漫射
效应，有利于茶多酚、氨基酸等芳香物质的形成( 张玮玮等，2011) 。",近55年来浙江省茶叶高温干旱灾害特征及防御技术研艽,安徽茶,1
空气湿度,抑制,叶绿素,园空气湿度的3个指标与茶青产量呈正相关关系，与茶青杂率呈负相关关系，而与茶青品质的咖啡碱、茶多酚2个生化指标呈正相关关系，与氨基酸和叶绿素含量呈负相关关系。,南京地区大棚茶园小气候特征及对茶青产量和品质效应,南京绿茶,1
枯草芽孢杆菌基生物有机肥,促进,氨基酸,巨芽孢杆菌、胶体芽孢杆菌和枯草芽孢杆菌基生物有机肥与常规化肥相比，茶多酚、氨基酸和咖啡因含量分别提高了17.71%、33.5%和22.20%。,"Efects of?Bio?organic Fertilizer on?Soil Fertility, Yield, and?Quality of?Tea",浙江茶,1
枯草芽孢杆菌基生物有机肥,促进,茶多酚,巨芽孢杆菌、胶体芽孢杆菌和枯草芽孢杆菌基生物有机肥与常规化肥相比，茶多酚、氨基酸和咖啡因含量分别提高了17.71%、33.5%和22.20%。,"Efects of?Bio?organic Fertilizer on?Soil Fertility, Yield, and?Quality of?Tea",浙江茶,1
枯草芽孢杆菌基生物有机肥,促进,咖啡因,巨芽孢杆菌、胶体芽孢杆菌和枯草芽孢杆菌基生物有机肥与常规化肥相比，茶多酚、氨基酸和咖啡因含量分别提高了17.71%、33.5%和22.20%。,"Efects of?Bio?organic Fertilizer on?Soil Fertility, Yield, and?Quality of?Tea",浙江茶,1
赖氨酸 ,促进,苦,表9 遮荫处理下鲜叶的游离氨基酸组分分析,四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,通用,1
蓝光,促进, ECG ,红光、紫光和蓝光处理可降低 ECG 等组分的含量,影响茶树生长和茶叶品质的主要环境因子及其适应机制,通用,1
酪氨酸 ,促进,苦,表9 遮荫处理下鲜叶的游离氨基酸组分分析,四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,通用,1
亮氨酸 ,促进,苦,表9 遮荫处理下鲜叶的游离氨基酸组分分析,四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,通用,1
磷,促进,氨基酸,"N和P主要参与氨基酸、维生素、叶绿素等物质的合成，直接调节茶树生化成分的含量和比例(Chen et al ., 2015；Lin et al, 2015)",Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
磷,促进,维生素,"N和P主要参与氨基酸、维生素、叶绿素等物质的合成，直接调节茶树生化成分的含量和比例(Chen et al ., 2015；Lin et al, 2016)",Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
磷,促进,叶绿素,"N和P主要参与氨基酸、维生素、叶绿素等物质的合成，直接调节茶树生化成分的含量和比例(Chen et al ., 2015；Lin et al, 2017)",Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
磷酸钙镁+油菜籽饼,促进,氨基酸,与对照相比，P+C处理的百芽重（BW）、游离氨基酸（AA）、茶多酚（TPC）和叶绿素（Chl）含量分别比对照提高了29.98%、14.41%、22.49%和28.85%。,"Sustainable regulation of?calcium magnesium phosphate and?rapeseed cake on?soil?tea system in?Mount Lushan, China",庐山云雾茶,1
磷酸钙镁+油菜籽饼,促进,茶多酚,与对照相比，P+C处理的百芽重（BW）、游离氨基酸（AA）、茶多酚（TPC）和叶绿素（Chl）含量分别比对照提高了29.98%、14.41%、22.49%和28.85%。,"Sustainable regulation of?calcium magnesium phosphate and?rapeseed cake on?soil?tea system in?Mount Lushan, China",庐山云雾茶,1
磷酸钙镁+油菜籽饼,促进,叶绿素,与对照相比，P+C处理的百芽重（BW）、游离氨基酸（AA）、茶多酚（TPC）和叶绿素（Chl）含量分别比对照提高了29.98%、14.41%、22.49%和28.85%。,"Sustainable regulation of?calcium magnesium phosphate and?rapeseed cake on?soil?tea system in?Mount Lushan, China",庐山云雾茶,1
绿茶,包含, ECG ,红光、紫光和蓝光处理可降低 ECG 等组分的含量,影响茶树生长和茶叶品质的主要环境因子及其适应机制,通用,3
绿茶,包含,5，6-环氧-β-紫罗酮,"绿茶中主要的芳香活性挥发物有芳樟醇、芳樟醇氧化物、香叶醇、顺式茉莉醇、吲哚、香豆素、二氢actinidiolide、茉莉酸甲酯、6-氯吲哚、5,6-环氧-β-ionone、反式香叶酮、叶绿醇和苯乙醇[40",Recent Advances in Volatiles of Teas,绿茶,1
绿茶,包含,6-氯吲哚,"绿茶中主要的芳香活性挥发物有芳樟醇、芳樟醇氧化物、香叶醇、顺式茉莉醇、吲哚、香豆素、二氢actinidiolide、茉莉酸甲酯、6-氯吲哚、5,6-环氧-β-ionone、反式香叶酮、叶绿醇和苯乙醇[39",Recent Advances in Volatiles of Teas,绿茶,1
绿茶,包含,d -木糖和糖醇,间作条件下，鼠李糖、麦芽糖二糖、d -木糖和糖醇、利比醇、l -二糖醇、d -苏糖醇含量均上调,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
绿茶,包含,d -葡萄糖- 6p,与氨基酸代谢相关的代谢物，尤其是谷氨酸、谷氨酰胺、赖氨酸和精氨酸的表达上调，而蔗糖和d -葡萄糖- 6p的表达下调。,The efects of?tea plants-soybean intercropping on?the?secondary metabolites of?tea plants by?metabolomics analysis,南京 “苏茶早” ,1
绿茶,包含,d -苏糖醇,间作条件下，鼠李糖、麦芽糖二糖、d -木糖和糖醇、利比醇、l -二糖醇、d -苏糖醇含量均上调,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
绿茶,包含,l -二糖醇,间作条件下，鼠李糖、麦芽糖二糖、d -木糖和糖醇、利比醇、l -二糖醇、d -苏糖醇含量均上调,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
绿茶,包含,NH+ 4 -N,土壤pH与NH+ 4 -N、游离氨基酸、土壤pH与咖啡因呈倒u型关系。,A Quadratic Regression Model to Quantify Plantation Soil Factors That Affect Tea Quality,信阳毛尖茶,1
绿茶,包含,γ-氨基丁酸,GABA （γ-氨基丁酸）是一种非蛋白质氨基酸，是一种重要的生物活性茶叶成分，具有多种健康益处[25]，在间作样品中比单作样品上调1.62倍。;表9 遮荫处理下鲜叶的游离氨基酸组分分析,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut;四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,宝洪茶;通用,2
绿茶,包含,氨酚比,茶叶品质指标与真菌群落香农多样性呈较强的负相关。这些品质指标与真菌群落种数呈相对中度的负相关;900kg商品有机肥处理能增加茶芽的发芽密度及百芽重；在成品茶感官品质上表现为香气更为高爽清鲜，味道更为鲜爽甘甜；茶叶的氨基酸含量更高，茶多酚含量更低，氨酚比更适宜，且以EGCG、EGC为代表的儿茶素含量更低。,Variations in?the?composition of?tea leaves and?soil microbial  community;有机肥部分替代化肥对成龄绿茶产量及品质的影响,韩国济州岛茶;成龄茶,2
绿茶,包含,氨基酸,"同时可以提高茶叶氨基酸含量，而茶多酚含量变化不大;SC间作提高了茶叶氨基酸含量、土壤有机碳（SOC）、酸性磷酸酶（ACP）、酸性蛋白酶（ACPT）和细菌多样性。;一定的光照条件可以促进植物体内茶多酚等芳香物质和氨基酸的形成和累积,有利于品质提高,但光照过强,反而不利于茶叶中茶多酚的形成。;前期日照时数的减少，茶叶中氨基酸和茶多酚含量将分别增加和下降。;遮荫有利于茶树游离氨基酸积累，遮荫栽培‘福鼎大白茶’游离氨基酸含量极显著高于不遮荫;遮荫后,2个品种鲜叶试样的水浸出物、儿茶素、咖啡碱、氨基酸含量显著增加,;除茶氨酸外,氨基酸组分变化总体呈增长趋势,按;单施有机肥和混施有机肥的茶叶中茶多酚、咖啡碱、氨基酸和水浸出物的含量均显著增加，酚氨比减小;叶面喷施 0.02 g/I处理茶叶各化学品质指标含量最高,化;结果表明,茶叶无机硒含量、有机硒含量与总硒含量随叶面喷施硒浓度的增加而增加。;土壤pH与NH+ 5 -N、游离氨基酸、土壤pH与咖啡因呈倒u型关系。;儿茶素与真菌多样性呈正相关，而总氨基酸和茶氨酸与真菌多样性呈负相关;鲜茶叶中氨基酸、茶碱含量和总风味化合物含量与铁含量的相关系数分别为0.382、0.395和0.441。E，显著正相关);900kg商品有机肥处理能增加茶芽的发芽密度及百芽重；在成品茶感官品质上表现为香气更为高爽清鲜，味道更为鲜爽甘甜；茶叶的氨基酸含量更高，茶多酚含量更低，氨酚比更适宜，且以EGCG、EGC为代表的儿茶素含量更低。;夏季遮光能明显提高氨基酸含量;黄云英盛花期，大豆间作茶树的茶氨基酸和可溶性糖含量分别增加了6.89%和54.58%。;巨芽孢杆菌、胶体芽孢杆菌和枯草芽孢杆菌基生物有机肥与常规化肥相比，茶多酚、氨基酸和咖啡因含量分别提高了17.71%、33.5%和22.20%。;咖啡因、氨基酸和茶多酚等物质是茶叶品质的重要组成部分，干旱胁迫下茶叶中的总游离氨基酸、咖啡碱、总儿茶素等含量减少;在水分胁迫下,茶树叶片碳氮合成代谢会减弱,使氨基酸和蛋白质的合成遭受严重影响,干早会促使叶片老化,使茶树新梢中茶多酚、素咖啡碱等含量显著降低，导致茶叶的品质下降。;研究发现增施有机肥较习惯施肥提高了茶叶中水浸出物、游离氨基酸、茶多酚的含量，并降低了咖啡碱
含量和酚氨比;2017 年全年茶青产量提高了 13.28%和2.5%，茶叶中的水浸出物、氨基酸和茶多酚的含量均有所提高，酚氨比降低，
提高了绿茶的品质。;在茶叶品质方面，施用土壤改良剂显著提高了茶中咖啡因含量，BF和BMF处理显著提高了茶多酚、游离氨基酸和水提取物含量。此外，BMF显著降低了多酚与氨基酸的比例。;BMF处理显著提高了茶叶品质，包括茶多酚、氨基酸、咖啡因和水提取物含量，分别比对照提高了16.46%、32.67%、39.22%和22.55%。;N和P主要参与氨基酸、维生素、叶绿素等物质的合成，直接调节茶树生化成分的含量和比例(Chen et al ., 2015；Lin et al, 2012);水稻土产茶鲜叶氨基酸含量显著低于红壤和黄壤，儿茶素和黄酮醇苷含量显著高于其他土壤（P < 0.05）。;与平地茶相比，高山茶的酚氨比值小，氨基酸含量高，形成了滋味鲜浓
的高山茶特色。;随着海拔的升高，氨基酸含量逐渐升高，儿茶素含量呈现先降低后升高的趋势；儿茶素含量随海拔升高而变化；黄酮类（醇类）苷含量在各海拔范围内变化不明显。;在一定的海拔范围内，海拔升高会增强茶树的N代谢，有利于氨基酸等化合物的积累（Wang et al ., 2022b）。随着海拔的升高，氨基酸和咖啡因的含量增加，而茶多酚的丰度在海拔超过800 m后开始增加，然后开始下降（Wang et al, 2022c）;茶园温度的3个指标与茶青产量和茶青茶产率呈正相关趋势，与咖啡碱、茶多酚和氨基酸含量呈显著或极显著的正相关，与茶青叶绿素含量呈正相关关系;气温低时，氨基酸、蛋白质及一些含氮化合物增 加，形成了茶叶鲜爽的滋味特点。 ;温度较低，茶芽生长缓慢,有利于茶叶中氨基酸含量的提高,但温度过低，不利于茶多酚等芳香物质的形成。;N和P主要参与氨基酸、维生素、叶绿素等物质的合成，直接调节茶树生化成分的含量和比例(Chen et al ., 2015；Lin et al, 2015);与对照相比，P+C处理的百芽重（BW）、游离氨基酸（AA）、茶多酚（TPC）和叶绿素（Chl）含量分别比对照提高了29.98%、14.41%、22.49%和28.85%。;9月份总氨基酸和茶氨酸浓度高于6月份;因为空气中较高的湿度不仅能抑制茶叶中纤维素的合成，保持芽叶柔嫩，而且能够增强太阳辐射的漫射
效应，有利于茶多酚、氨基酸等芳香物质的形成( 张玮玮等，2013) 。;园空气湿度的3个指标与茶青产量呈正相关关系，与茶青杂率呈负相关关系，而与茶青品质的咖啡碱、茶多酚2个生化指标呈正相关关系，与氨基酸和叶绿素含量呈负相关关系。;茶杉复合茶园茶叶中氨基酸、叶绿素、咖啡碱和水浸出物的含量均不同程度高于单一茶园，儿茶素和茶多酚总量均低于单一茶园?茶杉复合茶园鲜叶制作的夏秋茶表现为外形色泽翠绿，汤色翠绿明亮，香味栗香持久，叶底黄绿鲜活，整体感官评价明显优于单一茶园;80T栽培的板栗间作绿茶的多酚和氨基酸比值最低，间作保洪绿茶中氨基酸含量较高，多酚含量较低，导致茶多酚与氨基酸比值较低，特别是80 T样品;茶树冠面光照强度与茶青产量和茶产率呈正相关趋势，而与茶青品质各生化指标均呈负相关趋势，相关系数均未达显著水平。;茶园适度遮阴能降低茶树的光合作用，显著提高茶叶中氨基酸含量，增加水浸出物含量 P4251;遮荫有利于茶树游离氨基酸积累，遮荫栽培‘福鼎大白茶’游离氨基酸含量极显著高于不遮荫;遮荫后,2个品种鲜叶试样的水浸出物、儿茶素、咖啡碱、氨基酸含量显著增加,;除茶氨酸外,氨基酸组分变化总体呈增长趋势,按;遮光后茶叶茶多酚、粗纤维含量减少，叶绿素、咖啡碱、氨基酸含量增加 ，茶叶的持嫩性增加、苦涩味减少、鲜爽度提高颜色要较对照绿，绿茶的品质得到提高;遮荫后，茶叶茶多酚、粗纤维含量减少，相比对照，茶多酚最高减少13.45%，粗纤维最多减少56.4%:叶绿素、咖啡碱、氨基酸含量增加，相比对照，三者的增加最大值分别为40.65%、18.80%和15.98%。故遮荫后茶叶的持嫩性增加、苦涩味减少、鲜爽度提高，颜色较对照绿，绿茶的品质得到提高。;肖润林等四研究表明,随遮荫程度的提高，茶叶中氨基酸、水浸出物显著提高。;叶片中氨基酸含量随温度( 35 ～ 40 ℃) 升高略有增加，而增
加量是由蛋白质和多肽在酶的催化下水解所得，之后随温度的
升高，氨基酸分解加快，积累量减少，同时高温影响根系对养分
的吸收，从而影响氨基酸的合成，使得氨基酸含量急剧下降。","喷施叶面肥对春茶产量及品质的影响;The Effect of Intercropping with Different Leguminous Green Manures on the Soil Environment and Tea Quality in Tea Plantations;基于气候指数的安徽省茶叶气候品质评价;近55年来浙江省茶叶高温干旱灾害特征及防御技术研艽;四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响;不同有机肥处理对茶园土壤茶树生长及茶叶品质的影响;叶面喷施硒肥对绿茶硒含量及品质的影响;A Quadratic Regression Model to Quantify Plantation Soil Factors That Affect Tea Quality;Variations in?the?composition of?tea leaves and?soil microbial  community;Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ;有机肥部分替代化肥对成龄绿茶产量及品质的影响;高温时期遮荫处理对茶树生长的影响;Leguminous green manure intercropping changes the soil microbial community and increases soil nutrients and key quality components of tea leaves;Efects of?Bio?organic Fertilizer on?Soil Fertility, Yield, and?Quality of?Tea;影响茶树生长和茶叶品质的主要环境因子及其适应机制;高温干旱对茶树生长和品质影响机理的研究进展;有机肥+茶树专用肥”高效施用技术模式;减施化肥和配施有机肥对茶园土壤养分及茶叶产量和品质的影响;Combined application of?biochar and?magnesium fertilizer effectively improved the?soil environment and?the?tea quality in?southern strongly acidic tea garden;山东绿茶品质的影响因素分析;Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ;南京地区大棚茶园小气候特征及对茶青产量和品质效应;山东绿茶品质的影响因素分析;Sustainable regulation of?calcium magnesium phosphate and?rapeseed cake on?soil?tea system in?Mount Lushan, China;生境管理对亚热带丘陵茶园生态环境与茶叶品质的影响;Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut;四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响;生境管理对亚热带丘陵茶园生态环境与茶叶品质的影响;茶园遮荫栽培与茶叶品质相关性机理的研究;南京地区大棚茶园小气候特征及对茶青产量和品质效应",春茶;湖南绿茶;安徽茶;浙江绿茶;四川绿茶/通用;四川绿茶/福鼎大白茶/三花;四川绿茶/福鼎大白茶;陕西茶;贵州绿茶都匀毛尖;信阳毛尖茶;韩国济州岛茶;宣恩县茶;成龄茶;亚热带丘陵红壤茶园;不明;浙江茶;通用;福建茶;山东绿茶/通用;宣恩县茶;通用;南京绿茶;山东绿茶/通用;庐山云雾茶;亚热带丘陵茶;宝洪茶;四川绿茶/通用;四川绿茶/福鼎大白茶/三花;四川绿茶;亚热带丘陵茶;南京绿茶,52
绿茶,包含,苯丙氨酸,间作的l -丙氨酸（Ala）、l -脯氨酸（Pro）、苯丙氨酸（Phe）、l -丝氨酸（Ser）和l -谷氨酰胺（Gln）含量明显高于单作。,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
绿茶,包含,苯丙氨酸 ,表9 遮荫处理下鲜叶的游离氨基酸组分分析,四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,通用,1
绿茶,包含,苯甲酸,红壤和黄壤的苯甲酸和棕榈酸含量最高,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,2
绿茶,包含,苯乙醇,"绿茶中主要的芳香活性挥发物有芳樟醇、芳樟醇氧化物、香叶醇、顺式茉莉醇、吲哚、香豆素、二氢actinidiolide、茉莉酸甲酯、6-氯吲哚、5,6-环氧-β-ionone、反式香叶酮、叶绿醇和苯乙醇[43；在海拔700 ~ 799 m处，香叶醇和苯乙醇含量较低，但随海拔进一步升高而缓慢升高",Recent Advances in Volatiles of Teas；Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,绿茶,2
绿茶,包含,丙氨酸,间作的l -丙氨酸（Ala）、l -脯氨酸（Pro）、苯丙氨酸（Phe）、l -丝氨酸（Ser）和l -谷氨酰胺（Gln）含量明显高于单作。,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
绿茶,包含,丙氨酸 ,表9 遮荫处理下鲜叶的游离氨基酸组分分析,四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,通用,1
绿茶,包含,不饱和脂肪酸,不饱和脂肪酸是促成茶叶香气的挥发物的关键前体，随着氮肥用量的增加而增加[46],Recent Advances in Volatiles of Teas,通用,1
绿茶,包含,茶氨酸,"遮荫处理后,茶氨酸增量显著;儿茶素与真菌多样性呈正相关，而总氨基酸和茶氨酸与真菌多样性呈负相关;缺氮显著降低了茶叶的N含量、干重、叶绿素含量、l -茶氨酸和N代谢相关酶的活性，提高了总黄酮类化合物和多酚类物质的含量。;随海拔的升高，儿茶素和茶多酚含量随之减少，茶氨酸增加，某些鲜爽、清香型芳香物质大量积累，形成了山东绿茶香气纯正、滋味醇厚、口感鲜爽的特点。;茶氨酸含量的变化与总氨基酸含量的变化一致。;9月份总氨基酸和茶氨酸浓度高于6月份;茶氨酸的差异没有统计学意义，这表明间作对口感的改善并不依赖于茶氨酸。这里不否认茶氨酸在味觉中的作用，但这只是表明间作制度和纯茶园之间茶氨酸含量的微小差异。;遮荫处理后,茶氨酸增量显著;茶园遮阴使辐射到茶树冠层的蓝紫光增加，有利于茶叶中茶氨酸和谷氨[26,27]酸等的合成，使茶的滋味更为醇厚",四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响;Variations in?the?composition of?tea leaves and?soil microbial  community;Molecular and?physiological mechanisms of?tea (Camellia sinensis (L.) O. Kuntze) leaf and?root in?response to?nitrogen defciency;山东绿茶品质的影响因素分析;Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ;Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut;四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响;影响茶树生长和茶叶品质的主要环境因子及其适应机制,四川绿茶;韩国济州岛茶;不明;山东绿茶/通用;宣恩县茶;宝洪茶;四川绿茶;通用,9
绿茶,包含,茶氨酸 ,"茶氨酸可缓解茶汤的苦涩味,增强甜味,提升茶氨酸含量对良好滋味的形成有重要意义。;表9 遮荫处理下鲜叶的游离氨基酸组分分析",四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,四川绿茶;通用,2
